event,time,ip,user,code,time
892,19:38:23,20216812083,5,331,
893,19:38:23,20216812083,5,530,
894,19:38:25,20216812083,5,331,
895,19:38:25,20216812083,5,530,
896,19:38:26,20216812083,5,331,
897,19:38:26,20216812083,5,530,
898,19:38:28,20216812083,5,331,
899,19:38:28,20216812083,5,530,
900,19:38:30,20216812083,5,331,
901,19:38:30,20216812083,5,530,
902,19:38:32,20216812083,5,331,
903,19:38:32,20216812083,5,530,
904,19:38:33,20216812083,5,331,
905,19:38:33,20216812083,5,530,
906,19:38:35,20216812083,5,331,
907,19:38:35,20216812083,5,530,
908,19:38:37,20216812083,5,331,
909,19:38:37,20216812083,5,530,
910,19:38:38,20216812083,5,331,
911,19:38:38,20216812083,5,530,
912,19:38:40,20216812083,5,331,
913,19:38:40,20216812083,5,530,
914,19:38:42,20216812083,5,331,
915,19:38:42,20216812083,5,530,
916,19:38:43,20216812083,5,331,
917,19:38:43,20216812083,5,530,
918,19:38:45,20216812083,5,331,
919,19:38:45,20216812083,5,530,
920,19:38:47,20216812083,5,331,
921,19:38:47,20216812083,5,530,
922,19:38:48,20216812083,5,331,
923,19:38:48,20216812083,5,530,
924,19:38:50,20216812083,5,331,
925,19:38:50,20216812083,5,530,
926,19:38:52,20216812083,5,331,
927,19:38:52,20216812083,5,530,
928,19:38:53,20216812083,5,331,
929,19:38:53,20216812083,5,530,
930,19:38:55,20216812083,5,331,
931,19:38:55,20216812083,5,530,
932,19:38:57,20216812083,5,331,
933,19:38:57,20216812083,5,530,
934,19:38:58,20216812083,5,331,
935,19:38:58,20216812083,5,530,
936,19:39:00,20216812083,5,331,
937,19:39:00,20216812083,5,530,
938,19:39:02,20216812083,5,331,
939,19:39:02,20216812083,5,530,
940,19:39:04,20216812083,5,331,
941,19:39:04,20216812083,5,530,
942,19:39:05,20216812083,5,331,
943,19:39:05,20216812083,5,530,
944,19:39:07,20216812083,5,331,
945,19:39:07,20216812083,5,530,
946,19:39:09,20216812083,5,331,
947,19:39:09,20216812083,5,530,
948,19:39:10,20216812083,5,331,
949,19:39:10,20216812083,5,530,
950,19:39:12,20216812083,5,331,
951,19:39:12,20216812083,5,530,
952,19:39:14,20216812083,5,331,
953,19:39:14,20216812083,5,530,
954,19:39:15,20216812083,5,331,
955,19:39:15,20216812083,5,530,
956,19:39:17,20216812083,5,331,
957,19:39:17,20216812083,5,530,
958,19:39:19,20216812083,5,331,
959,19:39:19,20216812083,5,530,
960,19:39:20,20216812083,5,331,
961,19:39:22,20216812083,5,530,
962,19:39:24,20216812083,5,331,
963,19:39:27,20216812083,5,530,
964,19:39:28,20216812083,5,331,
965,19:39:28,20216812083,5,530,
966,19:39:30,20216812083,5,331,
967,19:39:30,20216812083,5,530,
968,19:39:31,20216812083,5,331,
969,19:39:31,20216812083,5,530,
970,19:39:34,20216812083,5,331,
971,19:39:35,20216812083,5,530,
972,19:39:36,20216812083,5,331,
973,19:39:36,20216812083,5,530,
974,19:39:38,20216812083,5,331,
975,19:39:38,20216812083,5,530,
976,19:39:40,20216812083,5,331,
977,19:39:40,20216812083,5,530,
978,19:39:41,20216812083,5,331,
979,19:39:41,20216812083,5,530,
980,19:39:43,20216812083,5,331,
981,19:39:43,20216812083,5,530,
982,19:39:45,20216812083,5,331,
983,19:39:45,20216812083,5,530,
984,19:39:46,20216812083,5,331,
985,19:39:46,20216812083,5,530,
986,19:39:48,20216812083,5,331,
987,19:39:48,20216812083,5,530,
988,19:39:50,20216812083,5,331,
989,19:39:50,20216812083,5,530,
990,19:39:51,20216812083,5,331,
991,19:39:51,20216812083,5,530,
992,19:39:53,20216812083,5,331,
993,19:39:53,20216812083,5,530,
994,19:39:55,20216812083,5,331,
995,19:39:55,20216812083,5,530,
996,19:39:56,20216812083,5,331,
997,19:39:56,20216812083,5,530,
998,19:39:58,20216812083,5,331,
999,19:39:58,20216812083,5,530,
1000,19:40:00,20216812083,5,331,
1001,19:40:00,20216812083,5,530,
1002,19:40:01,20216812083,5,331,
1003,19:40:01,20216812083,5,530,
1004,19:40:03,20216812083,5,331,
1005,19:40:03,20216812083,5,530,
1006,19:40:05,20216812083,5,331,
1007,19:40:05,20216812083,5,530,
1008,19:40:06,20216812083,5,331,
1009,19:40:06,20216812083,5,530,
1010,19:40:08,20216812083,5,331,
1011,19:40:08,20216812083,5,530,
1012,19:40:10,20216812083,5,331,
1013,19:40:10,20216812083,5,530,
1014,19:40:11,20216812083,5,331,
1015,19:40:11,20216812083,5,530,
1016,19:40:13,20216812083,5,331,
1017,19:40:13,20216812083,5,530,
1018,19:40:15,20216812083,5,331,
1019,19:40:15,20216812083,5,530,
1020,19:40:17,20216812083,5,331,
1021,19:40:17,20216812083,5,530,
1022,19:40:18,20216812083,5,331,
1023,19:40:18,20216812083,5,530,
1024,19:40:20,20216812083,5,331,
1025,19:40:20,20216812083,5,530,
1026,19:40:22,20216812083,5,331,
1027,19:40:22,20216812083,5,530,
1028,19:40:23,20216812083,5,331,
1029,19:40:23,20216812083,5,530,
1030,19:40:25,20216812083,5,331,
1031,19:40:25,20216812083,5,530,
1032,19:40:27,20216812083,5,331,
1033,19:40:27,20216812083,5,530,
1034,19:40:28,20216812083,5,331,
1035,19:40:28,20216812083,5,530,
1036,19:40:30,20216812083,5,331,
1037,19:40:30,20216812083,5,530,
1038,19:40:32,20216812083,5,331,
1039,19:40:32,20216812083,5,530,
1040,19:40:33,20216812083,5,331,
1041,19:40:33,20216812083,5,530,
1042,19:40:35,20216812083,5,331,
1043,19:40:35,20216812083,5,530,
1044,19:40:37,20216812083,5,331,
1045,19:40:37,20216812083,5,530,
1046,19:40:38,20216812083,5,331,
1047,19:40:38,20216812083,5,530,
1048,19:40:40,20216812083,5,331,
1049,19:40:40,20216812083,5,530,
1050,19:40:42,20216812083,5,331,
1051,19:40:42,20216812083,5,530,
1052,19:40:43,20216812083,5,331,
1053,19:40:43,20216812083,5,530,
1054,19:40:45,20216812083,5,331,
1055,19:40:45,20216812083,5,530,
1056,19:40:47,20216812083,5,331,
1057,19:40:47,20216812083,5,530,
1058,19:40:48,20216812083,5,331,
1059,19:40:48,20216812083,5,530,
1060,19:40:50,20216812083,5,331,
1061,19:40:50,20216812083,5,530,
1062,19:40:52,20216812083,5,331,
1063,19:40:52,20216812083,5,530,
1064,19:40:53,20216812083,5,331,
1065,19:40:53,20216812083,5,530,
1066,19:40:55,20216812083,5,331,
1067,19:40:55,20216812083,5,530,
1068,19:40:56,20216812083,5,331,
1069,19:40:56,20216812083,5,530,
1070,19:40:58,20216812083,5,331,
1071,19:40:58,20216812083,5,530,
1072,19:41:00,20216812083,5,331,
1073,19:41:00,20216812083,5,530,
1074,19:41:02,20216812083,5,331,
1075,19:41:02,20216812083,5,530,
1076,19:41:04,20216812083,5,331,
1077,19:41:04,20216812083,5,530,
1078,19:41:05,20216812083,5,331,
1079,19:41:05,20216812083,5,530,
1080,19:41:07,20216812083,5,331,
1081,19:41:07,20216812083,5,530,
1082,19:41:09,20216812083,5,331,
1083,19:41:09,20216812083,5,530,
1084,19:41:10,20216812083,5,331,
1085,19:41:10,20216812083,5,530,
1086,19:41:12,20216812083,5,331,
1087,19:41:12,20216812083,5,530,
1088,19:41:14,20216812083,5,331,
1089,19:41:14,20216812083,5,530,
1090,19:41:15,20216812083,5,331,
1091,19:41:15,20216812083,5,530,
1092,19:41:17,20216812083,5,331,
1093,19:41:17,20216812083,5,530,
1094,19:41:19,20216812083,5,331,
1095,19:41:19,20216812083,5,530,
1096,19:41:20,20216812083,5,331,
1097,19:41:20,20216812083,5,530,
1098,19:41:22,20216812083,5,331,
1099,19:41:22,20216812083,5,530,
1100,19:41:24,20216812083,5,331,
1101,19:41:24,20216812083,5,530,
1102,19:41:25,20216812083,5,331,
1103,19:41:25,20216812083,5,530,
1104,19:41:27,20216812083,5,331,
1105,19:41:27,20216812083,5,530,
1106,19:41:29,20216812083,5,331,
1107,19:41:29,20216812083,5,530,
1108,19:41:30,20216812083,5,331,
1109,19:41:30,20216812083,5,530,
1110,19:41:32,20216812083,5,331,
1111,19:41:32,20216812083,5,530,
1112,19:41:34,20216812083,5,331,
1113,19:41:34,20216812083,5,530,
1114,19:41:35,20216812083,5,331,
1115,19:41:35,20216812083,5,530,
1116,19:41:37,20216812083,5,331,
1117,19:41:37,20216812083,5,530,
1118,19:41:39,20216812083,5,331,
